svg,link,icon,not_modal,dynamic_modal,title,info_link,info_photo_link,info_tagline,comments
deep-seafloor,deep-seafloor_benthic-invertebrates.html,benthic-invertebrates,F,F,Benthic invertebrates,https://olympiccoast.noaa.gov/living/marinelife/inverts/inverts.html,https://sanctuarysimon.org/dbtools/photo-library/id/6662/pycnopodia/helianthoides/sunflower-star/,"Deep seafloor habitats are usually cold, dark and subject to intense pressure, and organisms living here, like benthic invertebrates, are specially adapted to this environment.",NA
deep-seafloor,deep-seafloor_corals-sponges.html,corals-sponges,F,F,Deep sea corals and sponges,https://olympiccoast.noaa.gov/science/coralandsponge/coralandsponge.html,https://olympiccoast.noaa.gov/library/pixpages/librarypixpg_primnoa.html,"Deep seafloor habitats are usually cold, dark and subject to intense pressure, and it may be hard to imagine corals and sponges thriving in the deep ocean. However, at Olympic Coast, many fascinating and beautiful deep sea corals and sponges can be found in the deep seafloor, creating vital habitat for many associated fishes and invertebrates.",No data in report
deep-seafloor,deep-seafloor_crabs-shrimps.html,crabs-shrimps,F,F,Crabs and shrimp,https://olympiccoast.noaa.gov/living/marinelife/inverts/inverts.html,NA,"Protected by their hard shell, crabs and shrimp living in the deepest parts of the sanctuary patrol the seafloor in search of food. Some crustacean species, like Dungeness crab, spot shrimp and pink shrimp, support fisheries that may include sandy seafloor areas near the shore and deeper fishing grounds that may be 30 miles or more offshore.",NA
deep-seafloor,deep-seafloor_flatfishes.html,flatfishes,F,F,Flatfishes,https://www.fisheries.noaa.gov/species/west-coast-groundfish,https://olympiccoast.noaa.gov/library/pixpages/librarypixpg_flounder.html,"Deep seafloor habitats are usually cold, dark and subject to intense pressure, and organisms living here, like flatfish, are specially adapted to this environment. Flatfish are exactly what they sound like: fish with oval or diamond-shaped bodies that lie flat on the seafloor. Flatfish can do some surprising things...for example, did you know that one of their eyes often migrates to the other side of their head as they grow?! Flatfish are important predators of small seafloor invertebrates, and are prey for sharks and marine mammals; many species, like Pacific Halibut and Petrale Sole, are prized by humans as well and support important fisheries.",NA
deep-seafloor,deep-seafloor_green-sturgeon.html,green-sturgeon,F,F,Green sturgeon,https://www.fisheries.noaa.gov/species/green-sturgeon,NA,"Deep seafloor habitats are usually cold, dark and subject to intense pressure, and organisms living here are specially adapted to this environment. Green sturgeon are a long-lived, slow growing species that have persisted for 160 million years but are now listed as threatened under the Endangered Species Act. Like other anadromous species, green sturgeon have a complex life history that includes spawning and juvenile rearing in rivers followed by migration of older individuals to saltwater habitats on the continental shelf and deep seafloor, where they spend much of their life.",No data in report
deep-seafloor,deep-seafloor_groundfish-assemblage.html,groundfish-assemblage,F,F,Groundfish assemblage,https://www.fisheries.noaa.gov/species/west-coast-groundfish,NA,"Groundfish is a category of fish composed of more than 90 different species that live on or near the bottom of the ocean. On the west coast, groundfish include flatfish, rockfish, sharks, and skates, many of which are harvested year-round in both non-tribal and tribal commercial fisheries, recreational and subsistence fisheries.",NA
deep-seafloor,deep-seafloor_nis.html,nis,F,T,Non-indigenous species,https://sanctuaries.noaa.gov/science/sentinel-site-program/olympic-coast/invasive-species.html,NA,"Deep seafloor habitats are usually cold, dark and subject to intense pressure, and organisms living here are specially adapted to this environment. Some species that are not naturally found in the deep seafloor of the Olympic Coast have been observed during deep sea exploration efforts.",No data in report
deep-seafloor,deep-seafloor_rockfishes.html,rockfishes,F,F,Rockfishes,https://olympiccoast.noaa.gov/living/marinelife/fish/fish.html,https://olympiccoast.noaa.gov/library/pixpages/librarypixpg_chinarockfish.html,"Rockfish is a term used to describe a collection of nearly sixty species in the family Sebastidae. Rockfishes mature slowly and can live for up to 150 years. They come in various shapes, sizes, and colors with interesting names such as vermillion, canary, aurora, and rosethorn rockfish. As their name suggests, rockfish habitat preferences indicate an affinity for rocky hard bottom substrates found within sanctuary habitats ranging from shallow, nearshore rocky reefs and kelp forests to the deep seafloor. Careful fisheries management is rebuilding or has rebuilt many stocks of rockfish that experienced population declines in past decades.",NA
deep-seafloor,deep-seafloor_roundfishes.html,roundfishes,F,F,Roundfishes,https://olympiccoast.noaa.gov/living/marinelife/fish/fish.html,https://olympiccoast.noaa.gov/library/pixpages/librarypixpg_lingcod.html,"Roundfish is a term that refers to a group of six fish species that live on or near the seafloor: lingcod, cabezon, kelp greenling, Pacific cod, Pacific whiting (hake), and sablefish. Some species like Pacific whiting support lucrative commercial, recreational and tribal fisheries on the Olympic Coast.",NA
deep-seafloor,deep-seafloor_sharks-rays.html,sharks-rays,F,F,Sharks and rays,https://www.fisheries.noaa.gov/species/west-coast-groundfish,https://olympiccoast.noaa.gov/library/pixpages/librarypixpg_skate.html,"Deep seafloor habitats are usually cold, dark and subject to intense pressure, and organisms living here, like sharks and rays, are specially adapted to live in this environment. Sharks and rays are often slow-growing and can be slow to mature, with few offspring--factors that make their populations vulnerable to overharvest, even when they are not the target of fishing effort. Shark species found at Olympic Coast include spiny dogfish, soupfin sharks, thresher sharks and salmon sharks, among others. Longnose and sandpaper skates have been observed on the deep seafloor during recent ROV surveys at OCNMS.",NA
