site,date,pct_cover,nms,sp
Cat Rock,2003-01-28,0,CINMS,ANTELE
Cat Rock,2003-05-21,0,CINMS,ANTELE
Cat Rock,2004-01-20,0,CINMS,ANTELE
Cat Rock,2005-01-24,0,CINMS,ANTELE
Cat Rock,2005-06-24,0,CINMS,ANTELE
Cat Rock,2005-12-11,0,CINMS,ANTELE
Cat Rock,2006-11-20,0,CINMS,ANTELE
Cat Rock,2007-12-21,0,CINMS,ANTELE
Cat Rock,2008-03-05,0,CINMS,ANTELE
Cat Rock,2008-11-11,0,CINMS,ANTELE
Cat Rock,2009-11-30,0,CINMS,ANTELE
Cat Rock,2010-03-11,0,CINMS,ANTELE
Cat Rock,2010-11-04,0,CINMS,ANTELE
Cat Rock,2011-12-21,0,CINMS,ANTELE
Cat Rock,2012-11-26,0.027777777777777776,CINMS,ANTELE
Cat Rock,2013-05-04,0,CINMS,ANTELE
Cat Rock,2013-12-16,0,CINMS,ANTELE
Cat Rock,2014-11-04,0,CINMS,ANTELE
Cat Rock,2015-11-11,0,CINMS,ANTELE
Crook Point,2003-01-14,0.1,CINMS,ANTELE
Crook Point,2003-04-11,0.05,CINMS,ANTELE
Crook Point,2004-01-07,0.058823529411764705,CINMS,ANTELE
Crook Point,2004-05-09,0,CINMS,ANTELE
Crook Point,2005-01-23,0,CINMS,ANTELE
Crook Point,2005-04-30,0.05,CINMS,ANTELE
Crook Point,2006-01-25,0.1,CINMS,ANTELE
Crook Point,2007-01-19,0,CINMS,ANTELE
Crook Point,2007-05-19,0,CINMS,ANTELE
Crook Point,2008-01-20,0,CINMS,ANTELE
Crook Point,2008-05-09,0,CINMS,ANTELE
Crook Point,2009-01-21,0,CINMS,ANTELE
Crook Point,2009-04-05,0,CINMS,ANTELE
Crook Point,2009-11-14,0,CINMS,ANTELE
Crook Point,2010-04-20,0.05,CINMS,ANTELE
Crook Point,2010-12-06,0,CINMS,ANTELE
Crook Point,2011-12-08,0,CINMS,ANTELE
Crook Point,2012-03-15,0.1,CINMS,ANTELE
Crook Point,2013-01-09,0.3,CINMS,ANTELE
