site,date,count,nms,sp,sp_method
Harris Point,2010-01-01,1,CINMS,HENSPP,GSES
Johnsons Lee,2008-01-01,4,CINMS,HENSPP,GSES
CINMS,2008-06-15,4,CINMS,HENSPP,GSES
CINMS,2010-06-15,1,CINMS,HENSPP,GSES
Crook Point,2007-01-01,1,CINMS,LEPTAS,GSES
East Point,2008-01-01,1,CINMS,LEPTAS,GSES
Fossil Reef,2008-01-01,1,CINMS,LEPTAS,GSES
Harris Point,2009-01-01,4,CINMS,LEPTAS,GSES
Harris Point,2010-01-01,2,CINMS,LEPTAS,GSES
Harris Point,2014-01-01,1,CINMS,LEPTAS,GSES
NW Talcott,2009-01-01,2,CINMS,LEPTAS,GSES
CINMS,2007-06-15,1,CINMS,LEPTAS,GSES
CINMS,2008-06-15,1,CINMS,LEPTAS,GSES
CINMS,2009-06-15,3,CINMS,LEPTAS,GSES
CINMS,2010-06-15,2,CINMS,LEPTAS,GSES
CINMS,2014-06-15,1,CINMS,LEPTAS,GSES
Cat Rock,2014-01-01,0,CINMS,PATMIN,GSES
Crook Point,2007-01-01,1,CINMS,PATMIN,GSES
Crook Point,2014-01-01,0,CINMS,PATMIN,GSES
Cuyler Harbor,2003-01-01,3,CINMS,PATMIN,GSES
Cuyler Harbor,2004-01-01,1,CINMS,PATMIN,GSES
Cuyler Harbor,2009-01-01,2,CINMS,PATMIN,GSES
Cuyler Harbor,2012-01-01,1,CINMS,PATMIN,GSES
Cuyler Harbor,2014-01-01,1,CINMS,PATMIN,GSES
East Point,2002-01-01,1,CINMS,PATMIN,GSES
East Point,2003-01-01,2,CINMS,PATMIN,GSES
East Point,2004-01-01,2,CINMS,PATMIN,GSES
East Point,2009-01-01,3,CINMS,PATMIN,GSES
East Point,2013-01-01,1,CINMS,PATMIN,GSES
East Point,2014-01-01,1,CINMS,PATMIN,GSES
Ford Point,2014-01-01,1,CINMS,PATMIN,GSES
Fossil Reef,2001-01-01,1,CINMS,PATMIN,GSES
Fossil Reef,2002-01-01,1,CINMS,PATMIN,GSES
Fossil Reef,2003-01-01,1.5,CINMS,PATMIN,GSES
Fossil Reef,2005-01-01,4,CINMS,PATMIN,GSES
Fossil Reef,2008-01-01,3,CINMS,PATMIN,GSES
Fossil Reef,2009-01-01,2,CINMS,PATMIN,GSES
Fossil Reef,2011-01-01,6,CINMS,PATMIN,GSES
Fossil Reef,2014-01-01,2,CINMS,PATMIN,GSES
Fossil Reef,2019-01-01,1,CINMS,PATMIN,GSES
Fraser Cove,2014-01-01,0,CINMS,PATMIN,GSES
Harris Point,2000-01-01,1.5,CINMS,PATMIN,GSES
Harris Point,2001-01-01,1,CINMS,PATMIN,GSES
Harris Point,2002-01-01,7,CINMS,PATMIN,GSES
Harris Point,2003-01-01,7,CINMS,PATMIN,GSES
Harris Point,2004-01-01,6.5,CINMS,PATMIN,GSES
Harris Point,2005-01-01,14,CINMS,PATMIN,GSES
Harris Point,2006-01-01,5,CINMS,PATMIN,GSES
Harris Point,2007-01-01,4.5,CINMS,PATMIN,GSES
Harris Point,2008-01-01,3,CINMS,PATMIN,GSES
Harris Point,2009-01-01,6,CINMS,PATMIN,GSES
Harris Point,2010-01-01,11.5,CINMS,PATMIN,GSES
Harris Point,2011-01-01,4,CINMS,PATMIN,GSES
Harris Point,2012-01-01,7,CINMS,PATMIN,GSES
Harris Point,2014-01-01,6,CINMS,PATMIN,GSES
Harris Point,2019-01-01,5,CINMS,PATMIN,GSES
Johnsons Lee,2014-01-01,1,CINMS,PATMIN,GSES
Johnsons Lee,2015-01-01,1,CINMS,PATMIN,GSES
Landing Cove,2014-01-01,0,CINMS,PATMIN,GSES
Middle West,2014-01-01,0,CINMS,PATMIN,GSES
Middle West,2017-01-01,1,CINMS,PATMIN,GSES
NW Talcott,2000-01-01,3,CINMS,PATMIN,GSES
NW Talcott,2001-01-01,1,CINMS,PATMIN,GSES
NW Talcott,2002-01-01,10,CINMS,PATMIN,GSES
NW Talcott,2004-01-01,2,CINMS,PATMIN,GSES
NW Talcott,2005-01-01,2,CINMS,PATMIN,GSES
NW Talcott,2007-01-01,2,CINMS,PATMIN,GSES
NW Talcott,2008-01-01,2.5,CINMS,PATMIN,GSES
NW Talcott,2009-01-01,1,CINMS,PATMIN,GSES
NW Talcott,2011-01-01,5,CINMS,PATMIN,GSES
Orizaba Cove,2009-01-01,1,CINMS,PATMIN,GSES
Orizaba Cove,2014-01-01,0,CINMS,PATMIN,GSES
Otter Harbor,2000-01-01,2,CINMS,PATMIN,GSES
Otter Harbor,2001-01-01,2,CINMS,PATMIN,GSES
Otter Harbor,2002-01-01,1,CINMS,PATMIN,GSES
