site,date,sp_method,species,bin,count,nms
Cat Rock,11/20/06,sea_star,PISOCH,NA,0,CINMS
Cat Rock,12/21/07,sea_star,PISGIG,NA,2,CINMS
Cat Rock,12/21/07,sea_star,PISOCH,140,1,CINMS
Cat Rock,12/21/07,sea_star,PISOCH,NM,5,CINMS
Cat Rock,12/21/07,sea_star,PISOCH,60,1,CINMS
Cat Rock,3/5/08,sea_star,PISOCH,NM,15,CINMS
Cat Rock,11/11/08,sea_star,PISGIG,NA,1,CINMS
Cat Rock,11/11/08,sea_star,PISOCH,110,1,CINMS
Cat Rock,11/11/08,sea_star,PISOCH,120,1,CINMS
Cat Rock,11/11/08,sea_star,PISOCH,70,2,CINMS
Cat Rock,11/30/09,sea_star,PISOCH,NM,7,CINMS
Cat Rock,3/11/10,sea_star,PISOCH,90,2,CINMS
Cat Rock,3/11/10,sea_star,PISOCH,100,1,CINMS
Cat Rock,3/11/10,sea_star,PISOCH,110,1,CINMS
Cat Rock,3/11/10,sea_star,PISOCH,120,5,CINMS
Cat Rock,3/11/10,sea_star,PISOCH,130,2,CINMS
Cat Rock,3/11/10,sea_star,PISOCH,150,2,CINMS
Cat Rock,3/11/10,sea_star,PISOCH,160,1,CINMS
Cat Rock,3/11/10,sea_star,PISOCH,NM,5,CINMS
Cat Rock,3/11/10,sea_star,PISOCH,40,1,CINMS
Cat Rock,11/4/10,sea_star,PISOCH,90,3,CINMS
Cat Rock,11/4/10,sea_star,PISOCH,100,1,CINMS
Cat Rock,11/4/10,sea_star,PISOCH,110,1,CINMS
Cat Rock,11/4/10,sea_star,PISOCH,120,5,CINMS
Cat Rock,11/4/10,sea_star,PISOCH,130,3,CINMS
Cat Rock,11/4/10,sea_star,PISOCH,140,4,CINMS
Cat Rock,11/4/10,sea_star,PISOCH,150,1,CINMS
Cat Rock,11/4/10,sea_star,PISOCH,160,2,CINMS
Cat Rock,11/4/10,sea_star,PISOCH,80,1,CINMS
Cat Rock,12/11/11,sea_star,PISOCH,90,1,CINMS
Cat Rock,12/11/11,sea_star,PISOCH,110,4,CINMS
Cat Rock,12/11/11,sea_star,PISOCH,130,1,CINMS
Cat Rock,12/11/11,sea_star,PISOCH,140,2,CINMS
Cat Rock,12/11/11,sea_star,PISOCH,NM,5,CINMS
Cat Rock,12/11/11,sea_star,PISOCH,60,1,CINMS
Cat Rock,11/26/12,sea_star,PISOCH,NM,22,CINMS
