svg,icon,link,title,not_modal
index,deep_seafloor,deep_seafloor.html,Deep Seafloor,T
index,human_dimensions,human_dimensions.html,Human Dimensions,T
index,kelp_forest,kelp_forest.html,Kelp Forest,T
index,ocean_climate,ocean_climate.html,Ocean Climate,T
index,pelagic,pelagic.html,Pelagic,T
index,rocky_shore,rocky_shore.html,Rocky Shore,T
index,sandy_beach,sandy_beach.html,Sandy Beach,T
index,sandy_seafloor,sandy_seafloor.html,Sandy Seafloor,T
deep_seafloor,benthic-invertebrates,deep-seafloor_benthic-invertebrates.html,Benthic invertebrates,F
deep_seafloor,corals-sponges,deep-seafloor_corals-sponges.html,Deep sea corals and sponges,F
deep_seafloor,crabs-shrimps,deep-seafloor_crabs-shrimps.html,Crabs and shrimp,F
deep_seafloor,flatfishes,deep-seafloor_flatfishes.html,Flatfishes,F
deep_seafloor,green-sturgeon,deep-seafloor_green-sturgeon.html,Green sturgeon,F
deep_seafloor,groundfish-assemblage,deep-seafloor_groundfish-assemblage.html,Groundfish assemblage,F
deep_seafloor,nis,deep-seafloor_nis.html,Non-indigenous species,F
deep_seafloor,rockfishes,deep-seafloor_rockfishes.html,Rockfishes,F
deep_seafloor,roundfishes,deep-seafloor_roundfishes.html,Roundfishes,F
deep_seafloor,shad,deep-seafloor_shad.html,Shad,F
deep_seafloor,sharks-rays,deep-seafloor_sharks-rays.html,Sharks and rays,F
deep_seafloor,terrain-complexity,deep-seafloor_terrain-complexity.html,Seafloor terrain complexity,F
human_dimensions,contaminants,human-dimensions_contaminants.html,Contaminants,F
human_dimensions,vessels,human-dimensions_vessels.html,Vessels,F
human_dimensions,harvest,human-dimensions_harvest.html,Harvest,F
human_dimensions,seafloor-disturbance,human-dimensions_seafloor-disturbance.html,Seafloor disturbance,F
human_dimensions,marine-debris,human-dimensions_marine-debris.html,Marine debris,F
human_dimensions,wildlife-disturbance,human-dimensions_wildlife-disturbance.html,Wildlife disturbance,F
human_dimensions,sound,human-dimensions_sound.html,Sound,F
kelp_forest,benthic-invertebrates,kelp-forest_benthic-invertebrates.html,Benthic invertebrates,F
kelp_forest,contaminants,kelp-forest_contaminants.html,Contaminants,F
kelp_forest,fish-assemblage,kelp-forest_fish-assemblage.html,Fish assemblage,F
kelp_forest,kelp-canopy,kelp-forest_kelp-canopy.html,Kelp canopy,F
kelp_forest,rock-cover,kelp-forest_rock-cover.html,Rock cover,F
kelp_forest,sea-otters,kelp-forest_sea-otters.html,Sea otters,F
kelp_forest,sea-stars,kelp-forest_sea-stars.html,Sea stars,F
kelp_forest,sea-urchins,kelp-forest_sea-urchins.html,Sea urchins,F
kelp_forest,understory-algae,kelp-forest_understory-algae.html,Understory algae,F
ocean_climate,nutrients-phytoplankton,ocean-climate_nutrients-phytoplankton.html,Nutrients and Phytoplankton,F
ocean_climate,oceanographic-index,ocean-climate_oceanographic-index.html,Oceanographic Indexes,F
ocean_climate,temperature,ocean-climate_temperature.html,Temperature,F
pelagic,cetaceans,pelagic_cetaceans.html,Cetaceans,F
pelagic,eulachon,pelagic_eulachon.html,Eulachon,F
pelagic,forage-fish,pelagic_forage-fish.html,Forage fish,F
pelagic,humboldt-squid,pelagic_humboldt-squid.html,Humboldt squid,F
pelagic,krill,pelagic_krill.html,Krill,F
pelagic,larvae-zooplankton,pelagic_larvae-zooplankton.html,Larvae and zooplankton,F
pelagic,leatherback,pelagic_leatherback.html,Leatherback turtle,F
pelagic,midwater-rockfishes,pelagic_midwater-rockfishes.html,Midwater rockfish,F
pelagic,nis,pelagic_nis.html,Non-indigenous species,F
pelagic,pacific-hake,pelagic_pacific-hake.html,Pacific hake (whiting),F
pelagic,pinnipeds,pelagic_pinnipeds.html,Pinnipeds,F
pelagic,salmon,pelagic_salmon.html,Salmon,F
pelagic,seabirds,pelagic_seabirds.html,Seabirds,F
pelagic,srkw,pelagic_srkw.html,Southern resident killer whale,F
rocky_shore,barnacles,rocky-shore_barnacles.html,Barnacles,F
rocky_shore,black-oystercatcher,rocky-shore_black-oystercatcher.html,Black oystercatcher,F
rocky_shore,colonial-seabirds,rocky-shore_colonial-seabirds.html,Colonial seabirds,F
rocky_shore,invertebrate-diversity,rocky-shore_invertebrate-diversity.html,Invertebrate diversity,F
rocky_shore,macroalgae-surfgrass,rocky-shore_macroalgae-surfgrass.html,Algae and surfgrass,F
rocky_shore,mussels,rocky-shore_mussels.html,Mussels,F
rocky_shore,nis,rocky-shore_nis.html,Non-indigenous species,F
rocky_shore,ochre-star,rocky-shore_ochre-star.html,Ochre stars,F
rocky_shore,pinnipeds,rocky-shore_pinnipeds.html,Seals and sealions,F
sandy_beach,advisories-closures,sandy-beach_advisories-closures.html,NA,F
sandy_beach,amphipods-isopods,sandy-beach_amphipods-isopods.html,Amphipods and isopods,F
sandy_beach,beach-sediment,sandy-beach_beach-sediment.html,NA,F
sandy_beach,beach-wrack,sandy-beach_beach-wrack.html,Beach wrack,F
sandy_beach,decapods,sandy-beach_decapods.html,Decapods,F
